Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species
2	Waveform 1	1	4.457637868	8.009132956	2452.6	8759.1	WTF
3	Waveform 1	1	8.169900223	10.435257172	3094.9	7124.1	AMRO
4	Waveform 1	1	10.581409233	12.306003556	6423.4	8467.2	BAWW
5	Waveform 1	1	10.639870058	12.349849174	1226.3	3854.0	AMMO
6	Waveform 1	1	3.609955912	7.292987856	2802.9	6948.9	EWPW
2	Spectrogram 1	1	4.457637868	8.009132956	2452.6	8759.1	WTF
3	Spectrogram 1	1	8.169900223	10.435257172	3094.9	7124.1	AMRO
4	Spectrogram 1	1	10.581409233	12.306003556	6423.4	8467.2	BAWW
5	Spectrogram 1	1	10.639870058	12.349849174	1226.3	3854.0	AMMO
6	Spectrogram 1	1	3.609955912	7.292987856	2802.9	6948.9	EWPW
