scientific,xc_common,bn_code,bn_common,bn_mapping_in_xc_dataset,relationship,ibp_alpha
dendrocygna-autumnalis,blackbelliedwhistlingduck,bbwduc,blackbelliedwhistlingduck,dendrocygna-autumnalis,,BBWD
anser-caerulescens,snowgoose,snogoo,snowgoose,anser-caerulescens,,SNGO
anser-albifrons,greaterwhitefrontedgoose,gwfgoo,greaterwhitefrontedgoose,anser-albifrons,,GWFG
branta-bernicla,brantgoose,brant,brant,branta-bernicla,"Same species, different common name",BRAN
branta-hutchinsii,cacklinggoose,cacgoo1,cacklinggoose,branta-hutchinsii,,CACG
branta-canadensis,canadagoose,cangoo,canadagoose,branta-canadensis,,CANG
cygnus-olor,muteswan,mutswa,muteswan,cygnus-olor,,MUSW
cygnus-buccinator,trumpeterswan,truswa,trumpeterswan,cygnus-buccinator,,TRUS
cygnus-columbianus,tundraswan,tunswa,tundraswan,cygnus-columbianus,,TUSW
alopochen-aegyptiaca,egyptiangoose,egygoo,egyptiangoose,alopochen-aegyptiaca,,EGGO
aix-sponsa,woodduck,wooduc,woodduck,aix-sponsa,,WODU
spatula-discors,bluewingedteal,buwtea,bluewingedteal,spatula-discors,,BWTE
spatula-clypeata,northernshoveler,norsho,northernshoveler,spatula-clypeata,,NSHO
mareca-strepera,gadwall,gadwal,gadwall,mareca-strepera,,GADW
mareca-penelope,eurasianwigeon,eurwig,eurasianwigeon,mareca-penelope,,EUWI
anas-platyrhynchos,mallard,mallar3,mallard,anas-platyrhynchos,,MALL
anas-carolinensis,greenwingedteal,,,,XC split with only one species in the ABA area; BirdNet's name for the complex (anas-crecca) refers to the XC species outside the ABA area,
somateria-mollissima,commoneider,comeid,commoneider,somateria-mollissima,,COEI
clangula-hyemalis,longtailedduck,lotduc,longtailedduck,clangula-hyemalis,,LTDU
bucephala-clangula,commongoldeneye,comgol,commongoldeneye,bucephala-clangula,,COGO
mergus-merganser,commonmerganser,commer,commonmerganser,mergus-merganser,,COME
ortalis-vetula,plainchachalaca,placha,plainchachalaca,ortalis-vetula,,PLCH
oreortyx-pictus,mountainquail,mouqua,mountainquail,oreortyx-pictus,,MOUQ
colinus-virginianus,northernbobwhite,norbob,northernbobwhite,colinus-virginianus,,NOBO
callipepla-squamata,scaledquail,scaqua,scaledquail,callipepla-squamata,,SCQU
callipepla-californica,californiaquail,calqua,californiaquail,callipepla-californica,,CAQU
callipepla-gambelii,gambelsquail,gamqua,gambelsquail,callipepla-gambelii,,GAQU
francolinus-francolinus,blackfrancolin,blkfra,blackfrancolin,francolinus-francolinus,,BLFR
perdix-perdix,graypartridge,grypar,graypartridge,perdix-perdix,,GRAP
gallus-gallus,redjunglefowl,redjun,redjunglefowl,gallus-gallus,,REJU
phasianus-colchicus,commonpheasant,rinphe,ringneckedpheasant,phasianus-colchicus,"Same species, different common name",RNEP
centrocercus-urophasianus,sagegrouse,saggro,greatersagegrouse,centrocercus-urophasianus,"Same species, different common name",GRSG
lagopus-lagopus,willowptarmigan,wilpta,willowptarmigan,lagopus-lagopus,,WIPT
